"","Think_well","Live_well","Feel_well"
"BM000936","7","5","5"
"BM000937","7","7","7"
"BM000595","5","5","7"
"BM000596","1","3","1"
"BM000597","5","6","7"
"BM000598","8","7","7"
"BM000599","7","7","5"
"BM000600","10"," 8"," 8"
"BM000601","7","6","8"
"BM000602","7","6","5"
"BM000603","10"," 5"," 7"
"BM000604","10"," 5"," 5"
"BM000605","8","8","7"
"BM000606","7","6","8"
"BM000607","8","7","7"
"BM000608","1","4","1"
"BM000609","7","8","4"
"BM000610","5","4","7"
"BM000611","10"," 6"," 8"
"BM000612","7","9","4"
"BM000613","1","3","1"
"BM000614","5","7","7"
"BM000615","2","5","2"
"BM000616","4","7","4"
"BM000617","7","7","8"
"BM000618","2","4","2"
"BM000619","5","6","5"
"BM000620","2","4","2"
"BM000621","5","7","7"
"BM000622","2","6","2"
"BM000623","7","6","4"
"BM000624","4","6","5"
"BM000625","7","6","7"
"BM000626","5","7","7"
"BM000627","7","5","5"
"BM000628","5","5","7"
"BM000629","4","5","7"
"BM000630","1","4","1"
"BM000631","7","5","7"
"BM000632","1","3","1"
"BM000633","1","3","1"
"BM000634","4","6","5"
"BM000635","7","5","8"
"BM000636","7","6","7"
"BM000637","5","4","7"
"BM000638","5","4","7"
"BM000639","8","5","8"
"BM000640","10"," 4"," 7"
"BM000641","5","4","7"
"BM000642","10"," 7"," 8"
"BM000643","5","6","7"
"BM000644","4","6","4"
"BM000645","10"," 6"," 7"
"BM000646","8","7","7"
"BM000647","7","4","8"
"BM000648","4","6","7"
"BM000649","5","6","7"
"BM000650","7","5","5"
"BM000651","7","6","8"
"BM000652","7","6","8"
"BM000653","4","8","4"
"BM000654","8","6","7"
"BM000655","7","5","4"
"BM000656","4","5","8"
"BM000657","5","7","4"
"BM000658","4","7","5"
"BM000659","5","4","5"
"BM000660","7","5","5"
"BM000661","5","5","8"
"BM000662","1","4","1"
"BM000663","7","7","8"
"BM000664","5","4","7"
"BM000665","7","4","8"
"BM000666","10"," 6"," 8"
"BM000667","5","5","7"
"BM000668","5","5","8"
"BM000669","5","6","8"
"BM000670","8","6","7"
"BM000671","5","6","8"
"BM000672","1","4","2"
"BM000673","5","5","8"
"BM000674","8","7","2"
"BM000675","8","6","7"
"BM000676","1","3","1"
"BM000677","7","6","7"
"BM000678","8","7","7"
"BM000679","8","9","7"
"BM000680","7","5","7"
"BM000681","5","5","7"
"BM000682","1","3","1"
"BM000683","7","6","8"
"BM000684","1","3","1"
"BM000685","8","6","8"
"BM000686","8","5","8"
"BM000687","8","7","5"
"BM000688","10"," 7"," 8"
"BM000689","7","6","7"
"BM000690","5","5","8"
"BM000691","1","5","1"
"BM000692","1","3","1"
"BM000693","7","6","8"
"BM000694","1","4","1"
"BM000695","4","4","5"
"BM000696","8","8","5"
"BM000697","10"," 6"," 8"
"BM000698","5","5","7"
"BM000699","7","6","5"
"BM000700","2","4","1"
"BM000701","5","4","7"
"BM000702","1","3","1"
"BM000703","4","3","4"
"BM000704","4","6","2"
"BM000705","8","6","7"
"BM000706","5","6","8"
"BM000707","7","7","7"
"BM000708","8","5","8"
"BM000709","5","5","7"
"BM000710","8","4","8"
"BM000711","1","3","1"
"BM000712","1","3","1"
"BM000713","1","4","1"
"BM000714","5","5","7"
"BM000715","7","7","8"
"BM000716","7","6","8"
"BM000717","7","7","8"
"BM000718","7","6","5"
"BM000719","4","6","2"
"BM000720","4","5","1"
"BM000721","8","7","8"
"BM000722","8","7","5"
"BM000723","10"," 6"," 7"
"BM000724","5","6","7"
"BM000725","7","6","8"
"BM000726","5","4","7"
"BM000727","5","8","8"
"BM000728","7","6","8"
"BM000729","7","6","7"
"BM000730","5","9","7"
"BM000731","10"," 4"," 5"
"BM000732","7","6","7"
"BM000733","7","7","7"
"BM000734","7","6","7"
"BM000735","5","3","7"
"BM000736","7","7","7"
