"","GABA","Serotonin","Tryptophan","meta2$Cohort"
"BM000663",16.77108,12.00252,17.72708,"AMILI"
"BM000665",16.71649,11.88078,17.73044,"AMILI"
"BM000672",16.45062,11.66215,17.47756,"AMILI"
"BM000673",16.78661,11.81255,17.8737,"AMILI"
"BM000676",16.07992,10.8912,17.08621,"AMILI"
"BM000681",16.61049,11.77224,17.64581,"AMILI"
"BM000684",16.24664,11.14551,17.25647,"AMILI"
"BM000687",16.62566,12.11556,17.55784,"AMILI"
"BM000688",16.61915,11.93808,17.60395,"AMILI"
"BM000692",16.102,10.9255,17.09283,"AMILI"
"BM000700",16.38081,12.13802,17.43342,"AMILI"
"BM000708",16.68732,11.973,17.71019,"AMILI"
"BM000712",16.04412,10.99954,16.97108,"AMILI"
"BM000715",16.6866,12.14216,17.69058,"AMILI"
"BM000716",16.75093,11.96676,17.79234,"AMILI"
"BM000719",16.56754,11.66142,17.50737,"AMILI"
"BM000720",16.51779,11.93657,17.40838,"AMILI"
"BM000721",16.68397,11.91061,17.74928,"AMILI"
"BM000722",16.6283,11.81763,17.648,"AMILI"
"BM000727",16.73974,12.20024,17.70673,"AMILI"
"BM000729",16.70122,12.19542,17.67453,"AMILI"
"BM000733",16.74321,11.99172,17.72204,"AMILI"
"BM000734",16.71045,12.10486,17.69831,"AMILI"
"BM000735",17.05946,12.7974,17.79736,"AMILI"
"BM000740",16.68847,11.97486,17.73726,"AMILI"
"BM000743",16.74374,12.06335,17.76263,"AMILI"
"BM000745",16.57526,11.93265,17.61426,"AMILI"
"BM000751",16.52734,11.77339,17.52963,"AMILI"
"BM000756",16.69593,11.99807,17.66726,"AMILI"
"BM000767",16.79198,12.05969,17.7359,"AMILI"
"BM000768",16.67105,11.92331,17.69187,"AMILI"
"BM000892",16.68701,12.08281,17.70571,"AMILI"
"BM000902",16.52732,11.74762,17.51759,"AMILI"
"BM000916",16.65958,12.03874,17.62581,"AMILI"
"BM000925",16.77812,13.29845,17.56401,"AMILI"
"BM000931",16.89219,12.53728,17.81912,"AMILI"
"BM000948",16.922,12.46601,17.65411,"AMILI"
"BM000954",16.64467,12.03273,17.59383,"AMILI"
"BM001069",16.73655,12.73359,17.56478,"AMILI"
"BM001070",16.67858,12.1827,17.72391,"AMILI"
"BM001073",16.25481,11.66682,17.20946,"AMILI"
"BM001078",15.989406,10.579376,16.9325,"AMILI"
"BM001084",16.7518,12.095,17.78043,"AMILI"
"BM001091",16.35488,11.70431,17.37029,"AMILI"
"BM001093",16.76775,11.9579,17.63578,"AMILI"
"BM001094",16.46918,11.69439,17.35967,"AMILI"
"BM001098",16.51284,11.96958,17.44285,"AMILI"
"BM001103",16.4083,11.49731,17.34731,"AMILI"
"BM001104",16.70522,11.90149,17.62852,"AMILI"
"BM001107",16.65081,11.97749,17.56738,"AMILI"
"BM001112",16.60967,11.96187,17.57286,"AMILI"
"BM001115",16.72119,12.60057,17.62998,"AMILI"
"BM001116",16.82938,12.47607,17.70102,"AMILI"
"BM001117",16.90335,13.20968,17.77659,"AMILI"
"BM001118",16.84296,12.26121,17.77156,"AMILI"
"BM001119",16.88778,13.31817,17.63322,"AMILI"
"BM001122",16.85344,12.04375,17.66714,"AMILI"
"BM001124",16.61566,11.95899,17.51695,"AMILI"
"BM001125",16.75087,12.07868,17.70286,"AMILI"
"BM001126",16.53684,11.73843,17.49863,"AMILI"
"BM001127",16.46967,11.75696,17.41504,"AMILI"
"BM001128",16.5867,11.92512,17.5539,"AMILI"
"BM001131",16.81743,12.06351,17.71751,"AMILI"
"BM001133",16.80927,12.09002,17.65607,"AMILI"
"BM001134",16.66514,11.94184,17.59646,"AMILI"
"BM001137",16.73558,12.05678,17.69643,"AMILI"
"BM001140",16.77431,12.13037,17.72079,"AMILI"
"BM001141",16.49434,11.69625,17.41084,"AMILI"
"BM001148",16.8137,12.12581,17.74709,"AMILI"
"BM001152",16.70733,12.06278,17.59683,"AMILI"
"BM001154",16.54697,11.67158,17.48525,"AMILI"
"BM001159",16.74292,12.0753,17.68184,"AMILI"
"BM001160",16.66471,11.97018,17.66768,"AMILI"
"BM001161",16.46539,11.62691,17.44984,"AMILI"
"BM001166",16.7069,12.0102,17.67199,"AMILI"
"BM001169",16.75135,11.96064,17.65396,"AMILI"
"BM001174",16.63292,11.88458,17.56723,"AMILI"
"BM001177",16.57395,11.7716,17.42323,"AMILI"
"BM001182",16.58511,11.87129,17.50999,"AMILI"
"BM001183",16.61036,11.85622,17.49516,"AMILI"
"BM001184",16.25205,12.1745,17.12964,"AMILI"
"BM001189",16.43159,11.53642,17.4067,"AMILI"
"BM001196",16.69567,12.059,17.56539,"AMILI"
"BM001202",16.78775,12.00935,17.84469,"AMILI"
"BM001204",16.73383,12.21661,17.68036,"AMILI"
"BM001205",16.69476,12.1263,17.6733,"AMILI"
"BM001210",16.69208,12.09858,17.69205,"AMILI"
"BM001217",16.58135,11.81112,17.57072,"AMILI"
"BM001219",16.52806,11.73284,17.45493,"AMILI"
"BM001227",16.56117,11.88832,17.46666,"AMILI"
"BM001229",16.71279,11.92227,17.58845,"AMILI"
"BM001234",16.71908,13.24647,17.60595,"AMILI"
"BM001239",16.7766,12.44125,17.73997,"AMILI"
"BM001240",16.78862,12.48458,17.61859,"AMILI"
"BM001242",16.93804,12.98491,17.64612,"AMILI"
"BM001244",16.74073,12.50377,17.62327,"AMILI"
"BM001248",16.83383,12.10237,17.74093,"AMILI"
"BM001250",16.69995,11.93295,17.6821,"AMILI"
"BM001253",16.4361,11.86799,17.38919,"AMILI"
"BM001259",16.67188,12.48446,17.56231,"AMILI"
"BM000113",16.60409,12.6168,17.56691,"AMILI"
"BM000115",16.40129,12.20329,17.34323,"AMILI"
"BM000118",16.78271,12.77701,17.79055,"AMILI"
"BM001352",16.94759,13.10886,17.63809,"AMILI"
"BM000132",16.64656,11.98354,17.62409,"AMILI"
"BM000136",16.80262,11.95293,17.8289,"AMILI"
"BM000138",16.58087,11.7242,17.54905,"AMILI"
"BM001376",16.88729,11.86353,17.74672,"AMILI"
"BM001400",16.65276,12.37616,17.57711,"AMILI"
"BM001407",16.467727,11.980785,17.330988,"AMILI"
"BM001413",16.72417,12.08399,17.68872,"AMILI"
"BM000152",16.61152,12.07662,17.55408,"AMILI"
"BM000154",16.91581,12.30402,17.77461,"AMILI"
"BM000158",16.82691,12.03096,17.7705,"AMILI"
"BM001952",16.65152,12.04629,17.63226,"AMILI"
"BM001964",16.7611,12.22017,17.74862,"AMILI"
"BM001973",16.64034,12.18622,17.19759,"AMILI"
"BM001974",16.74988,11.78558,17.69168,"AMILI"
"BM001976",16.88504,12.04923,17.80528,"AMILI"
"BM001977",16.83078,11.74538,17.78933,"AMILI"
"BM001703",16.89708,12.37425,17.66017,"AMILI"
"BM001706",16.83783,12.15311,17.7432,"AMILI"
"BM001710",16.63519,11.90089,17.56258,"AMILI"
"BM001716",17.07186,12.24419,18.04146,"AMILI"
"BM001724",16.74836,12.26998,17.65283,"AMILI"
"BM001731",16.68455,12.21693,17.62071,"AMILI"
"BM001736",16.86034,12.27563,17.76838,"AMILI"
"BM001923",16.25182,11.13035,17.2792,"AMILI"
"BM001933",16.83527,12.4926,17.68845,"AMILI"
"BM001942",16.9761,12.17023,17.78275,"AMILI"
"BM001943",16.94733,12.13972,17.77147,"AMILI"
"BM001948",17.053598,12.291275,17.847076,"AMILI"
"SRR9606838",15.92944,10.94937,16.60477,"Public"
"SRR9606839",16.185346,11.188989,16.8414,"Public"
"SRR9606840",15.210929,9.046543,16.023725,"Public"
"SRR9606841",16.73868,12.19367,17.43694,"Public"
"SRR9606842",15.726407,10.431227,16.507397,"Public"
"SRR9606843",17.115025,12.668717,17.685461,"Public"
"SRR9606844",16.60158,12.6217,17.23098,"Public"
"SRR9606845",15.67634,10.50125,16.39781,"Public"
"SRR9606846",16.35508,11.99212,16.93119,"Public"
"SRR9606847",15.817114,10.456076,16.688809,"Public"
"SRR9606906",15.756261,10.417222,16.492866,"Public"
"SRR9606907",16.15155,11.47807,16.78423,"Public"
"SRR9606908",16.51751,12.09384,17.1218,"Public"
"SRR9606909",16.86856,12.27242,17.61309,"Public"
"SRR9606910",15.9287,10.90706,16.64594,"Public"
"SRR9606911",16.51499,11.97017,17.27156,"Public"
"SRR9606912",16.74949,12.09898,17.41325,"Public"
"SRR9606913",16.76744,12.36629,17.50682,"Public"
"SRR9606914",15.237811,9.290594,16.064566,"Public"
"SRR9606915",16.92162,12.21751,17.66943,"Public"
"SRR9606928",16.36622,11.07114,16.94798,"Public"
"SRR9606929",16.95876,12.51123,17.55596,"Public"
"SRR9606930",16.74948,12.17526,17.36913,"Public"
"SRR9606931",16.91125,12.27298,17.60927,"Public"
"SRR9606932",16.49895,11.833,17.29289,"Public"
"SRR9606933",17.230897,12.79949,17.787102,"Public"
"SRR9606934",15.33344,9.605586,16.080411,"Public"
"SRR9606935",15.99114,11.14824,16.80837,"Public"
"SRR9606936",16.64069,11.8174,17.38286,"Public"
"SRR9606994",16.62427,11.90259,17.33842,"Public"
"SRR9606995",16.98466,12.27139,17.62049,"Public"
"SRR9606996",16.108719,11.083113,16.841583,"Public"
"SRR9606997",15.8706,10.6352,16.7499,"Public"
"SRR9606998",16.52965,11.88582,17.26191,"Public"
"SRR9606999",16.95539,12.1487,17.60852,"Public"
"SRR9607000",16.32708,12.02453,16.75805,"Public"
"SRR9607001",16.51097,11.8888,17.11579,"Public"
"SRR9607002",16.72764,12.37302,17.74587,"Public"
"SRR9607003",15.97138,11.06302,16.63949,"Public"
"SRR9607024",15.61738,10.5041,16.29003,"Public"
"SRR9607025",16.69474,12.05437,17.53698,"Public"
"SRR9607028",17.066856,12.232692,17.689394,"Public"
"SRR9607029",15.874509,10.782355,16.643287,"Public"
"SRR9607030",16.84397,12.1758,17.56973,"Public"
"SRR9607031",16.37604,11.8437,17.08817,"Public"
"SRR9607032",16.20313,11.28364,17.0926,"Public"
"SRR9607033",16.29614,11.77781,17.04799,"Public"
"SRR9607034",16.48466,12.29024,17.16023,"Public"
"SRR9607039",15.939515,10.793129,16.685975,"Public"
"SRR9607040",16.226569,11.241463,16.87794,"Public"
"SRR9607041",16.71928,12.40864,17.2311,"Public"
"SRR9607042",16.45085,12.13959,17.25804,"Public"
"SRR9607043",16.63672,12.2756,17.376,"Public"
"SRR9607044",16.80757,12.04406,17.50464,"Public"
"SRR9607085",16.13868,11.36943,16.96287,"Public"
"SRR9607086",16.44096,11.82136,17.00119,"Public"
"SRR9607089",16.53688,12.44739,17.21578,"Public"
"SRR9607090",15.49754,10.00104,16.22882,"Public"
"SRR9607091",16.58959,11.74139,17.24446,"Public"
"SRR9607092",16.20743,11.66136,16.97392,"Public"
"SRR9607175",16.7911,12.32673,17.37952,"Public"
"SRR9607176",16.74217,12.19949,17.43736,"Public"
"SRR9607177",16.9521,12.47803,17.60946,"Public"
"SRR9607178",15.74269,10.69039,16.49059,"Public"
"SRR9607179",16.067324,11.042719,16.747108,"Public"
"SRR9607180",17.03747,12.38515,17.66862,"Public"
"SRR9607181",16.72453,12.12414,17.37294,"Public"
"SRR9607182",16.65929,11.86404,17.26335,"Public"
"SRR9607183",16.46774,11.94578,17.08264,"Public"
"SRR9607184",16.97532,12.48345,17.60555,"Public"
"SRR9607198",15.99993,10.80574,16.72039,"Public"
"SRR9607199",16.70109,12.1988,17.42282,"Public"
"SRR9607204",15.482392,9.875285,16.231719,"Public"
"SRR9607205",16.52494,11.97663,17.43693,"Public"
"SRR9607206",16.76322,12.30105,17.41253,"Public"
"SRR9607207",16.39526,11.87457,17.14996,"Public"
"SRR9607208",15.77394,10.73897,16.50513,"Public"
"SRR9607209",16.80417,12.17787,17.64747,"Public"
"SRR9607210",16.81324,12.6046,17.43885,"Public"
"SRR9607211",16.67822,11.96084,17.42398,"Public"
"SRR9607236",16.04406,11.21836,16.8519,"Public"
"SRR9607248",15.70335,10.50228,16.49025,"Public"
"SRR9607271",16.61816,12.30591,17.2543,"Public"
"SRR9607272",16.721555,11.81731,17.463756,"Public"
"SRR9607279",16.75373,12.29991,17.36771,"Public"
"SRR9607280",16.297,11.49567,17.00629,"Public"
"SRR9607281",15.359461,9.554471,16.125042,"Public"
"SRR9607282",16.98229,12.56917,17.59822,"Public"
"SRR9607283",16.04025,11.06323,16.76664,"Public"
"SRR9607284",16.74403,12.20622,17.27263,"Public"
"SRR9607285",16.097741,11.083322,16.749983,"Public"
"SRR9607286",16.80176,12.42226,17.45549,"Public"
"SRR9607327",17.03226,12.63376,17.56414,"Public"
"SRR11574864",16.22717,11.30288,17.14947,"Public"
"SRR11574868",16.80369,11.784856,17.894398,"Public"
"SRR11574870",16.438398,11.710894,17.339931,"Public"
"SRR11574871",16.48564,12.18929,17.18162,"Public"
"SRR11574872",16.19531,11.07232,16.98004,"Public"
"SRR11574873",16.85821,11.73708,17.44057,"Public"
"SRR11574875",16.4244,11.86642,17.3385,"Public"
"SRR11574876",16.61091,12.02409,17.33274,"Public"
"SRR11574879",16.1682,11.2383,17.04515,"Public"
"SRR11574884",15.94705,10.47647,16.82753,"Public"
"SRR11574885",16.50562,11.79427,17.33449,"Public"
"SRR11574886",16.25104,11.293516,17.05471,"Public"
"SRR11574887",16.058198,10.778009,16.927144,"Public"
"SRR11574888",15.985876,10.6068,16.88004,"Public"
"SRR13921607",16.848,11.53367,18.15767,"Public"
"SRR13921618",16.73664,12.02603,17.72354,"Public"
"SRR13921619",16.6719,11.83862,17.68977,"Public"
"SRR13921620",15.65527,11.63294,16.90832,"Public"
"SRR13921621",16.56963,11.30342,17.76731,"Public"
"SRR13921630",16.6632,11.79615,17.66028,"Public"
"SRR13921641",16.65729,11.87978,17.78388,"Public"
"SRR13921652",16.69919,12.62799,17.61326,"Public"
"SRR13921659",16.58867,11.47783,17.68302,"Public"
"SRR13921660",16.68389,12.00938,17.72407,"Public"
"SRR13921661",16.84141,11.77909,18.05478,"Public"
"SRR13921662",16.74216,12.3001,17.78754,"Public"
"SRR13921663",16.63053,11.63914,17.67105,"Public"
"SRR13921664",16.76379,11.77586,17.84677,"Public"
"SRR13921665",16.72019,11.82984,17.71669,"Public"
"SRR13921666",16.74884,11.72158,17.81982,"Public"
"SRR13921677",16.48697,11.85233,17.45813,"Public"
"SRR13921688",16.72163,11.83506,17.84676,"Public"
"SRR13921690",16.66173,11.68664,17.67889,"Public"
"SRR13921691",16.64531,11.75646,17.66735,"Public"
"SRR13921692",16.63846,11.42408,17.81652,"Public"
"SRR13921693",16.79511,11.72379,18.12168,"Public"
"SRR13921694",16.84141,11.89169,17.99821,"Public"
"SRR13921695",16.65832,11.74359,17.8473,"Public"
"SRR13921696",16.88743,11.58778,18.00263,"Public"
"SRR13921697",16.51477,11.85763,17.42778,"Public"
"SRR13921698",16.63014,11.87397,17.68732,"Public"
"SRR13921699",16.34582,11.29053,17.44933,"Public"
"SRR13921700",16.600838,11.783575,17.727633,"Public"
"SRR13921701",16.643544,11.548974,17.742615,"Public"
"SRR13921702",16.7579,11.42825,17.82168,"Public"
"SRR13921703",16.57868,11.87872,17.61552,"Public"
"SRR13921704",16.46149,11.60976,17.50401,"Public"
"SRR13921705",16.4824,11.62358,17.45867,"Public"
"SRR13921706",16.63068,11.58783,17.7465,"Public"
"SRR13921707",16.87026,11.86069,18.03785,"Public"
"SRR13921708",16.47152,11.88268,17.49252,"Public"
"SRR13921709",16.598478,11.533546,17.687793,"Public"
"SRR13921710",16.86902,11.68917,18.11867,"Public"
"SRR13921721",16.77489,11.56194,17.96151,"Public"
"SRR13921732",16.72281,11.87288,17.76731,"Public"
"SRR13921739",16.56735,11.87364,17.66504,"Public"
"SRR13921740",16.47153,11.88541,17.40376,"Public"
"SRR13921741",16.6406,11.46908,17.73511,"Public"
"SRR13921743",16.67054,11.38822,17.80855,"Public"
"SRR13921744",16.78838,11.40955,18.10253,"Public"
"SRR13921745",16.7321,11.89327,17.72162,"Public"
"SRR13921746",16.52422,11.59904,17.6544,"Public"
"SRR13921747",16.781021,11.721913,17.96676,"Public"
"SRR13921748",16.66443,11.76303,17.65129,"Public"
"SRR13921749",16.80256,11.73151,17.95409,"Public"
"SRR13921757",16.81901,12.41982,17.75106,"Public"
"SRR13921768",16.92603,11.93831,18.10228,"Public"
"SRR13921769",16.78802,12.04907,17.88077,"Public"
"SRR13921770",16.60299,11.51186,17.52673,"Public"
